date,interest,ewma_7,rolling_7,keyword,region
2025-08-26,43.0,43.0,43.0,saree,IN
2025-08-27,42.0,42.75,42.5,saree,IN
2025-08-28,39.0,41.8125,41.333333333333336,saree,IN
2025-08-29,39.0,41.109375,40.75,saree,IN
2025-08-30,43.0,41.58203125,41.2,saree,IN
2025-08-31,46.0,42.6865234375,42.0,saree,IN
2025-09-01,39.0,41.764892578125,41.57142857142857,saree,IN
2025-09-02,38.0,40.82366943359375,40.857142857142854,saree,IN
2025-09-03,41.0,40.86775207519531,40.714285714285715,saree,IN
2025-09-04,41.0,40.900814056396484,41.0,saree,IN
2025-09-05,42.0,41.17561054229736,41.42857142857143,saree,IN
2025-09-06,41.0,41.13170790672302,41.142857142857146,saree,IN
2025-09-07,41.0,41.09878093004227,40.42857142857143,saree,IN
2025-09-08,35.0,39.5740856975317,39.857142857142854,saree,IN
2025-09-09,33.0,37.930564273148775,39.142857142857146,saree,IN
2025-09-10,32.0,36.44792320486158,37.857142857142854,saree,IN
2025-09-11,33.0,35.585942403646186,36.714285714285715,saree,IN
2025-09-12,41.0,36.93945680273464,36.57142857142857,saree,IN
2025-09-13,73.0,45.95459260205098,41.142857142857146,saree,IN
2025-09-14,100.0,59.465944451538235,49.57142857142857,saree,IN
2025-09-15,65.0,60.849458338653676,53.857142857142854,saree,IN
2025-09-16,61.0,60.88709375399026,57.857142857142854,saree,IN
2025-09-17,46.0,57.16532031549269,59.857142857142854,saree,IN
2025-09-18,43.0,53.62399023661952,61.285714285714285,saree,IN
2025-09-19,40.0,50.217992677464636,61.142857142857146,saree,IN
2025-09-20,42.0,48.16349450809848,56.714285714285715,saree,IN
2025-09-21,45.0,47.37262088107386,48.857142857142854,saree,IN
2025-09-22,41.0,45.77946566080539,45.42857142857143,saree,IN
2025-09-23,41.0,44.584599245604046,42.57142857142857,saree,IN
2025-09-24,40.0,43.43844943420304,41.714285714285715,saree,IN
2025-09-25,40.0,42.578837075652274,41.285714285714285,saree,IN
2025-09-26,40.0,41.934127806739205,41.285714285714285,saree,IN
2025-09-27,47.0,43.2005958550544,42.0,saree,IN
2025-09-28,45.0,43.6504468912908,42.0,saree,IN
2025-09-29,43.0,43.487835168468095,42.285714285714285,saree,IN
2025-09-30,44.0,43.61587637635107,42.714285714285715,saree,IN
2025-10-01,43.0,43.4619072822633,43.142857142857146,saree,IN
2025-10-02,45.0,43.84643046169747,43.857142857142854,saree,IN
2025-10-03,45.0,44.1348228462731,44.57142857142857,saree,IN
2025-10-04,44.0,44.10111713470483,44.142857142857146,saree,IN
2025-10-05,50.0,45.57583785102862,44.857142857142854,saree,IN
2025-10-06,41.0,44.43187838827147,44.57142857142857,saree,IN
2025-10-07,42.0,43.82390879120361,44.285714285714285,saree,IN
2025-10-08,42.0,43.3679315934027,44.142857142857146,saree,IN
2025-10-09,42.0,43.02594869505202,43.714285714285715,saree,IN
2025-10-10,41.0,42.51946152128902,43.142857142857146,saree,IN
2025-10-11,46.0,43.38959614096676,43.42857142857143,saree,IN
2025-10-12,50.0,45.042197105725066,43.42857142857143,saree,IN
2025-10-13,42.0,44.2816478292938,43.57142857142857,saree,IN
2025-10-14,41.0,43.46123587197035,43.42857142857143,saree,IN
2025-10-15,41.0,42.84592690397776,43.285714285714285,saree,IN
2025-10-16,40.0,42.134445177983324,43.0,saree,IN
2025-10-17,40.0,41.600833883487496,42.857142857142854,saree,IN
2025-10-18,42.0,41.70062541261562,42.285714285714285,saree,IN
2025-10-19,43.0,42.02546905946171,41.285714285714285,saree,IN
2025-10-20,46.0,43.01910179459628,41.857142857142854,saree,IN
2025-10-21,44.0,43.26432634594721,42.285714285714285,saree,IN
2025-10-22,43.0,43.19824475946041,42.57142857142857,saree,IN
2025-10-23,38.0,41.898683569595306,42.285714285714285,saree,IN
2025-10-24,37.0,40.67401267719648,41.857142857142854,saree,IN
